jc9j01010	  3.47833365e-04   1.31988831e+01   3.70577813e-04   1.22672624e-02   4.24075297e-01   4.26926434e-01   9.26043334e-01
jc9j02010	  8.38330520e-04   7.08476126e+00   4.64169778e-03   1.71139423e-02   7.21122466e-01   7.26536908e-01   1.36436979e+00
jc9j03010	 -3.85859661e-03   1.65171962e+01   1.05760629e-03   1.47046776e-02   6.93838830e-01   7.03486375e-01   7.63733718e-01
jc9j04010	 -2.34762734e-05   1.32351705e+01  -1.68602678e-03   0.36064850e-01   2.49531398e-01   2.50644287e-01   7.60521906e-01
jc9j05010	 -1.33117387e-02   1.93616156e+01   1.01610986e-02   9.00536339e-03   2.57207001e-01   9.19573048e-01   6.06337939e-01
jc9j06010	 -9.31321995e-04   1.44592276e+01   1.38181396e-03   16.92382477e-03   5.91795085e-01   2.54878271e+00   1.03500679e+00
jc9j07010	 -5.26511538e-03   1.71182953e+01   7.31357884e-04   3.14677295e-03   6.81680606e-01   8.03680258e-01   5.66122663e-01
jc9j08010	 -2.27995421e-02   2.21341808e+01   2.82873174e-03   1.73843882e-02   3.45506235e-01   5.40265755e-01   4.58410776e-01
jc9j09010	 -1.23146307e-03   8.08076523e+00   7.88635843e-04   8.14696866e-03   0.53338196e+00   0.75820039e+00   9.69371093e-01
jc9j10010	 -1.16057729e-02   1.10229478e+01  -1.00497614e-04   4.53950948e-03   0.68347151e+00   1.55727030e+00   6.94030354e-01
jc9j11010	 -4.31549200e-03   1.10830178e+01   1.09871222e-03   7.60837787e-02   3.94259641e-01   8.36702353e-01   8.91989113e-01
c_r a_p c_p n0timesL OMEGA PHI mthoms
